lat,lon,veitype,avstand_m,stigning_m,hoydemeter_opp,maks_helning_pst,gangtid_min,krysser,min_K_margin_m,morgensol_m
60.4514,12.14495,service,213,6,8,19,2.9,bekk,2.5,0
60.69195,12.12567,service,241,28,28,17,4.4,–,0.6,0
60.60357,12.13499,unclassified,216,37,37,37,4.9,–,0.6,0
60.73767,12.12487,service,164,7,9,17,2.3,–,2.3,0
60.56242,12.1432,service,317,-10,4,24,4.0,–,0.3,0
60.61936,12.13779,service,329,16,22,29,5.1,bekk,1.7,0
60.86685,12.11602,service,490,-9,7,16,6.0,myr,0.3,0
60.86902,12.11656,service,396,-6,5,21,4.7,myr,1.5,0
60.80277,12.12363,track,158,45,45,42,5.5,–,2.7,0.3
60.46025,12.15491,service,548,10,20,16,7.4,bekk,2.8,0
60.80737,12.12415,service,359,-12,3,19,4.3,–,0.0,0
60.45713,12.15591,track,230,23,23,27,4.0,–,0.9,0
60.65665,12.13851,service,256,-10,2,28,3.2,myr,1.0,0
60.86917,12.1195,service,236,-2,6,17,2.9,myr,3.0,0
60.53698,12.15055,unclassified,142,-0,4,19,1.9,–,2.3,0
60.81774,12.12597,service,162,34,34,37,4.1,–,0.4,0
60.715,12.13607,unclassified,232,-12,2,28,2.9,bekk,1.3,0
60.55845,12.15102,unclassified,197,19,20,26,3.4,bekk+myr,2.4,0
60.63989,12.14477,service,181,3,11,25,2.8,bekk,2.6,0
60.66159,12.14227,service,216,-11,1,37,2.7,–,0.2,0
60.79493,12.13041,unclassified,200,-1,5,20,2.5,–,1.6,0
60.46141,12.16264,service,258,15,18,18,4.0,–,2.9,0
60.64219,12.14713,service,358,5,17,27,5.2,bekk,0.1,0
60.67108,12.14528,service,199,-12,1,59,3.2,vann,0.6,0
60.59678,12.15386,service,317,33,38,44,6.5,–,1.6,0
60.63355,12.15025,service,214,8,10,14,3.0,–,0.9,0
60.6566,12.14823,service,421,-48,1,30,5.7,–,2.5,0
60.49612,12.16435,service,253,26,26,21,4.4,–,0.1,0.9
60.59586,12.15667,service,298,4,8,18,3.9,myr,0.5,0
60.46863,12.16837,service,151,16,17,30,2.8,–,0.4,0
60.66604,12.15288,secondary,228,-8,3,12,2.8,–,0.5,0
60.7471,12.14569,unclassified,422,-18,6,18,5.2,–,2.0,0
60.53226,12.16572,service,318,-2,8,36,4.3,bekk+myr,1.4,0
60.82078,12.14189,unclassified,254,7,11,36,3.6,–,0.0,0
60.56059,12.16689,service,508,-24,6,24,6.2,–,2.7,0
60.67053,12.15742,service,213,-2,3,19,2.5,–,1.1,0
60.84691,12.1414,service,217,-10,1,26,2.7,myr,2.9,0
60.71736,12.1544,service,274,0,5,10,3.4,–,2.8,0
60.66618,12.15946,secondary,261,-21,0,14,3.0,–,1.4,0
60.74724,12.15247,unclassified,172,-7,5,21,2.4,–,1.3,0
60.71094,12.1566,service,159,5,9,24,2.4,–,0.8,0
60.4734,12.18197,service,227,6,12,20,3.4,–,1.3,0
60.67881,12.1664,unclassified,198,1,5,17,2.6,myr,2.6,0
60.5358,12.18037,service,299,2,12,20,4.2,–,0.6,0
60.53938,12.18334,service,425,12,22,26,6.3,myr,0.7,0
60.67373,12.17254,unclassified,194,-12,1,18,2.3,–,1.8,0
60.71213,12.17025,service,177,6,10,20,2.6,bekk,1.7,0
60.48358,12.19183,service,240,2,10,20,3.3,–,2.4,0
60.7051,12.17325,service,200,30,32,37,4.4,bekk,2.9,0
60.64118,12.17975,service,233,-37,0,35,3.7,–,2.3,0
60.59197,12.18515,service,304,31,34,39,5.8,bekk+myr,2.5,1.1
60.59208,12.18606,service,300,34,37,34,6.0,bekk+myr,0.9,0.4
60.50528,12.20288,track,303,-9,8,48,4.5,bekk+myr,2.9,0
60.7017,12.18693,service,184,-13,0,26,2.2,–,0.7,1
60.75387,12.18567,unclassified,169,2,8,41,2.6,elv+vann,2.2,0
61.02588,12.16324,unclassified,208,-14,0,25,2.4,myr,1.0,0
60.82181,12.18225,service,434,74,74,40,9.8,–,1.2,0.1
60.67235,12.19664,service,268,11,12,9,3.7,–,2.6,0
60.82954,12.18268,track,265,0,3,5,3.2,–,0.6,1.3
60.68003,12.19853,service,440,-26,0,10,4.7,–,0.3,0
60.49005,12.2175,service,354,18,29,39,6.2,myr,0.3,0
60.69052,12.20203,service,208,11,11,13,3.0,–,2.5,0
61.04591,12.17165,service,212,-21,0,17,2.6,–,1.9,0
60.4275,12.22918,primary,258,-6,2,23,3.1,bekk,0.8,0
60.96777,12.18526,service,374,12,14,14,5.1,myr,0.9,0
60.47394,12.22924,service,550,22,26,19,7.8,myr,0.5,0
60.63458,12.2162,service,158,-7,2,19,2.0,–,2.4,0
60.51237,12.23254,service,471,99,99,35,12.3,–,2.7,0
60.88483,12.20196,track,308,-6,4,28,3.8,myr,1.4,0
60.5804,12.22889,service,513,-27,0,12,5.7,–,2.9,0
60.62033,12.22675,unclassified,518,-20,1,14,5.6,bekk,2.7,0
60.83118,12.21365,track,508,-2,9,14,6.3,–,1.3,0
60.4506,12.24779,service,303,-16,3,46,4.0,–,0.8,0
60.5524,12.24315,unclassified,594,18,22,22,8.0,bekk+myr,1.4,0
60.43856,12.25608,service,247,-22,3,20,3.3,–,1.7,0
60.54822,12.2499,unclassified,391,15,21,21,5.7,–,0.6,0
60.54887,12.25147,unclassified,503,5,21,19,7.0,–,2.0,0
60.74177,12.23462,unclassified,240,45,45,35,5.9,–,1.6,1
60.5479,12.25172,unclassified,444,4,19,20,6.1,–,0.8,0
60.51123,12.25993,track,658,52,52,18,10.4,–,2.3,0
60.58629,12.25341,service,325,7,18,41,5.1,myr,1.3,0
60.63346,12.24922,track,241,-2,1,7,2.8,–,1.5,0
60.74144,12.24015,unclassified,245,33,35,40,5.2,–,0.6,0
60.41397,12.2703,service,313,-22,3,22,4.1,–,1.1,0
60.68679,12.24759,service,173,-4,1,12,2.0,bekk,0.5,0
60.65174,12.2513,secondary,161,8,9,27,2.4,–,1.8,0
60.71281,12.24628,service,218,-2,4,15,2.7,–,2.9,0
60.64234,12.25357,secondary,367,-4,7,59,5.2,elv+vann,2.2,0
60.71778,12.24768,unclassified,261,-11,2,18,3.1,–,1.7,0
60.52913,12.26555,service,234,12,15,24,3.6,–,0.1,0
60.688,12.25354,service,507,-1,8,16,6.2,bekk,2.9,0
60.65618,12.26174,service,141,1,3,10,1.8,–,2.9,0
60.58225,12.27074,unclassified,293,-28,0,18,3.5,–,1.2,0
60.5907,12.2713,unclassified,363,-2,6,10,4.4,–,0.9,0
60.64621,12.26623,secondary,202,8,9,22,2.8,vann,3.0,0
60.74504,12.2582,unclassified,560,6,16,16,7.3,–,1.2,0
60.57951,12.27316,secondary,453,60,62,32,9.0,–,0.6,0
60.6587,12.26626,service,309,2,5,10,3.8,–,2.5,0
60.64844,12.26988,service,339,23,38,40,6.7,–,2.9,0
60.86208,12.25277,service,606,-48,2,33,7.8,myr,1.5,0
60.46866,12.28663,service,234,41,43,54,6.0,–,0.2,0
60.65852,12.27087,service,287,3,4,8,3.6,–,0.4,0
60.56127,12.28199,track,227,13,19,38,4.0,–,1.6,4.1
60.6047,12.27888,service,287,3,7,10,3.6,bekk,1.6,0
60.66175,12.27554,service,208,2,3,8,2.6,–,2.5,0
60.65148,12.27768,service,270,9,32,52,7.2,–,1.4,0
60.74968,12.26936,service,199,7,14,24,3.2,elv,1.0,0
61.01934,12.24623,service,365,-21,3,34,5.0,vann+myr,1.3,0
60.50415,12.29135,service,677,19,41,36,10.6,–,1.2,3.8
60.63783,12.28269,secondary,314,45,45,35,6.5,–,2.5,1.9
60.56099,12.29023,service,191,45,45,52,5.6,–,1.9,1.6
60.55661,12.29115,service,238,34,34,28,4.8,–,2.7,0
60.62867,12.28765,service,170,15,16,25,2.9,–,1.9,0
60.63001,12.28699,service,208,14,14,17,3.2,–,2.8,0
60.63665,12.28697,service,210,14,19,40,3.8,–,2.5,0
60.87448,12.26663,unclassified,436,-18,4,21,5.2,–,0.3,0
60.68671,12.28314,service,216,-0,3,9,2.6,–,2.9,0
60.91635,12.26619,track,296,21,24,24,4.8,–,2.5,0
60.68374,12.28688,service,215,1,7,20,2.9,–,2.9,0
60.72664,12.28526,service,225,-3,3,11,2.7,myr,0.1,0
60.97798,12.26645,track,265,-14,0,8,2.7,–,0.1,0
60.62261,12.29858,service,153,2,6,13,2.1,–,2.9,0
60.42085,12.31716,unclassified,264,-9,9,28,4.0,–,1.1,5.2
60.59271,12.30401,service,281,12,13,17,4.0,–,2.6,0.6
60.86382,12.28116,service,597,15,27,83,10.3,bekk+myr,2.9,0
60.87523,12.28075,unclassified,236,-7,5,25,3.1,–,2.4,0
60.69453,12.30555,secondary,259,-15,11,44,4.7,elv+vann,0.8,0
60.72199,12.30399,service,422,9,21,47,6.4,–,2.0,0
60.54197,12.32301,service,300,30,31,27,5.3,–,2.9,0
60.53026,12.32543,service,561,-11,10,39,7.4,bekk+myr,2.7,0
60.69728,12.31707,secondary,835,7,31,32,12.1,elv+bekk+vann,2.7,0
60.61433,12.32469,service,320,11,23,35,5.4,–,2.9,0
60.70289,12.31951,secondary,738,1,21,27,9.8,elv+vann,2.9,0
60.60436,12.32916,service,330,-44,2,24,4.8,–,1.2,7.6
60.61556,12.33188,service,524,7,19,13,7.0,–,2.8,0
60.52465,12.3412,service,851,-2,26,44,12.1,elv+vann,1.1,0
